A			,A			,x,0,2,2,2,0
B			,A#			,x,1,3,3,3,1
B4			,A#4		,x,x,3,3,4,1
B7			,A#7		,x,x,3,3,3,4
Bdim		,A#dim		,x,x,2,3,2,3
b			,A#m		,x,1,3,3,2,1
b7			,A#m7		,x,1,3,1,2,1
Bmaj7		,A#maj7		,x,1,3,2,3,x
A+			,A+			,x,0,3,2,2,1
A/D			,A/D		,x,x,0,0,2,2
A/F#		,A/F#		,2,0,2,2,2,0
A/G#		,A/G#		,4,0,2,2,2,0
A11			,A11		,x,4,2,4,3,3
A13			,A13		,x,4,5,6,7,5
A4			,A4			,0,0,2,2,0,0
A6			,A6			,x,x,2,2,2,2
A7			,A7			,x,0,2,0,2,0
A7(9+)		,A7(9+)		,2,0,3,0,2,3
A7+			,A7+		,x,x,3,2,2,1
A7sus4		,A7sus4		,0,0,2,0,3,0
A9			,A9			,x,0,2,1,0,0
G#			,Ab			,4,6,6,5,4,4
G#+			,Ab+		,x,x,2,1,1,0
G#11		,Ab11		,4,6,4,6,4,4
G#4			,Ab4		,x,x,1,1,2,4
G#7			,Ab7		,x,x,1,1,1,2
G#dim		,Abdim		,x,x,0,1,0,1
g#			,Abm		,4,6,6,4,4,4
g#7			,Abm7		,x,x,4,4,4,4
G#maj7		,Abmaj7		,x,x,1,1,1,3
G#dim		,Adim		,x,x,1,2,1,2
a			,Am			,x,0,2,2,1,0
a(7#)		,Am(7#)		,x,0,3,2,1,3
a(add9)		,Am(add9)	,0,2,2,2,1,0
a/G			,Am/G		,3,0,2,2,1,0
a6			,Am6		,x,0,2,2,1,2
a7			,Am7		,x,0,2,2,1,3
a7sus4		,Am7sus4	,0,0,0,0,3,0
a9			,Am9		,x,4,5,5,5,7
Amaj7		,Amaj7		,x,0,2,1,2,0
Asus		,Asus		,x,x,2,2,3,0
Asus2		,Asus2		,x,0,2,2,0,0
Asus4		,Asus4		,x,0,2,2,3,0
H			,B			,x,2,4,4,4,2
H(addE)		,B(addE)	,x,2,4,4,0,0
H+			,B+			,x,x,1,0,0,4
H/F#		,B/F#		,1,3,3,3,1,1
H11			,B11		,7,9,9,8,6,6
H11/13		,B11/13		,0,0,4,4,4,4
H13			,B13		,x,2,1,2,0,4
H4			,B4			,x,x,4,4,5,2
H7			,B7			,0,2,1,2,0,2
H7#9		,B7#9		,x,2,1,2,3,x
H7+			,B7+		,x,2,1,2,0,3
H9			,B9			,7,9,7,8,7,9
HaddE/F#	,BaddE/F#	,2,2,4,4,4,2
B+			,Bb+		,x,x,0,3,3,2
B11			,Bb11		,6,8,6,8,9,6
B6			,Bb6		,x,x,3,3,3,3
B9			,Bb9		,6,8,6,7,6,8
b9			,Bbm9		,x,x,x,6,6,8
h			,Bm			,x,2,4,4,3,2
h(maj7)		,Bm(maj7)	,x,2,0,3,3,2
h6			,Bm6		,x,x,4,4,3,4
h7			,Bm7		,x,2,4,2,3,2
h7b5		,Bm7b5		,1,2,4,2,3,1
Hmaj		,Bmaj		,x,2,4,3,4,x
hsus9		,Bmsus9		,x,3,4,4,0,2
C			,C			,x,3,2,0,1,0
C#			,C#			,x,x,3,1,2,1
C#(add9)	,C#(add9)	,x,4,6,6,4,4
C#4			,C#4		,x,x,6,6,7,4
C#7			,C#7		,x,x,3,4,2,4
c#			,C#m		,x,x,2,1,2,0
c#7			,C#m7		,x,x,2,4,2,4
C#maj		,C#maj		,x,4,3,1,1,1
C(add9)		,C(add9)	,x,3,2,0,3,0
C/H			,C/B		,x,2,2,0,1,0
C11			,C11		,x,3,5,3,6,3
C4			,C4			,x,x,3,0,1,3
C7			,C7			,0,3,2,3,1,0
C9			,C9			,8,10,8,9,8,10
C9(11)		,C9(11)		,3,3,5,3,5,3
Cadd2/H		,Cadd2/B	,x,2,0,0,1,0
c			,Cm			,x,3,5,5,4,3
c11			,Cm11		,x,3,5,3,6,x
c7			,Cm7		,x,3,5,3,4,3
Cmaj		,Cmaj		,0,3,2,0,1,0
Cmaj7		,Cmaj7		,x,3,2,0,0,0
Csus2		,Csus2		,x,3,0,0,1,x
Csus9		,Csus9		,x,x,10,7,8,10
D			,D			,x,x,0,2,3,2
D#			,D#			,x,x,5,3,4,3
D#4			,D#4		,x,x,1,3,4,4
D#7			,D#7		,x,x,1,3,2,3
d#			,D#m		,x,x,4,3,4,2
d#7			,D#m7		,x,x,1,3,2,2
D#maj7		,D#maj7		,x,x,1,3,3,3
D(add9)		,D(add9)	,0,0,0,2,3,2
D/A			,D/A		,x,0,4,2,3,2
D/H			,D/B		,x,2,0,2,3,2
D/C			,D/C		,x,3,0,2,3,2
D/C#		,D/C#		,x,4,0,2,3,2
D/E			,D/E		,x,7,7,7,7,x
D/G			,D/G		,3,x,0,2,3,2
D11			,D11		,3,0,0,2,1,0
D4			,D4			,x,x,0,2,3,3
D5/E		,D5/E		,6,7,7,7,x,x
D6			,D6			,x,0,0,2,0,2
D7			,D7			,x,x,0,2,1,2
D7#9		,D7#9		,x,5,4,5,6,6
D7sus2		,D7sus2		,x,0,0,2,1,0
D7sus4		,D7sus4		,x,0,0,2,1,3
D9			,D9			,6,7,7,7,7,8
D9add6		,D9add6		,0,2,0,2,1,2
d			,Dm			,x,x,0,2,3,1
d#7			,Dm#7		,x,x,0,2,2,1
d/A			,Dm/A		,x,0,0,2,3,1
d/H			,Dm/B		,x,2,0,2,3,1
d/C			,Dm/C		,x,3,0,2,3,1
d/C#		,Dm/C#		,x,4,0,2,3,1
d7			,Dm7		,x,x,0,2,1,1
d9			,Dm9		,x,x,3,2,1,0
Dmaj7		,Dmaj7		,x,x,0,2,2,2
Dsus2		,Dsus2		,0,0,0,2,3,0
Dsus4		,Dsus4		,0,0,0,2,3,3
E			,E			,0,2,2,1,0,0
E11			,E11		,1,1,1,1,2,2
E5			,E5			,6,7,9,9,x,x
E6			,E6			,x,x,11,11,11,11
E7			,E7			,0,2,2,1,3,0
E7#9		,E7#9		,0,2,2,1,3,3
E7(5b)		,E7(5b)		,0,1,0,1,3,2
E7(b9)		,E7(b9)		,0,2,0,1,3,2
E9			,E9			,1,3,1,2,1,3
D#(add9)	,Eb(add9)	,x,1,1,3,4,1
e			,Em			,0,2,2,0,0,0
e(add9)		,Em(add9)	,0,2,4,0,0,0
e(sus4)		,Em(sus4)	,0,0,2,0,0,0
e/H			,Em/B		,x,2,2,0,0,0
e/D			,Em/D		,x,x,0,0,0,0
e6			,Em6		,0,2,2,0,2,0
e7			,Em7		,0,2,2,0,3,0
Emaj7		,Emaj7		,0,2,1,1,0,x
Esus		,Esus		,0,2,2,2,0,0
Esus4		,Esus4		,0,2,2,2,0,0
F			,F			,1,3,3,2,1,1
F#			,F#			,2,4,4,3,2,2
F#+			,F#+		,x,x,4,3,3,2
F#/E		,F#/E		,0,4,4,3,2,2
F#11		,F#11		,2,4,2,4,2,2
F#4			,F#4		,x,x,4,4,2,2
F#7			,F#7		,x,x,4,3,2,0
F#9			,F#9		,x,1,2,1,2,2
f#			,F#m		,2,4,4,2,2,2
f#6			,F#m6		,x,x,1,2,2,2
f#7-5		,F#m7-5		,2,1,3,4,4,4
F#maj		,F#maj		,2,4,4,3,2,2
F#maj7		,F#maj7		,x,x,4,3,2,1
F(add9)		,F(add9)	,3,0,3,2,1,1
F/A			,F/A		,x,0,3,2,1,1
F/C			,F/C		,x,x,3,2,1,1
F/G			,F/G		,3,3,3,2,1,1
F11			,F11		,1,3,1,3,1,1
F4			,F4			,x,x,3,3,1,1
F6			,F6			,x,3,3,2,3,x
F7			,F7			,1,3,1,2,1,1
F7/A		,F7/A		,x,0,1,2,1,1
F9			,F9			,2,4,2,3,2,4
FaddG		,FaddG		,1,x,3,2,1,3
f			,Fm			,1,3,3,1,1,1
f6			,Fm6		,x,x,0,1,1,1
f7			,Fm7		,1,3,1,1,1,1
Fmaj7		,Fmaj7		,x,3,3,2,1,0
Fmaj7(+5)	,Fmaj7(+5)	,0,0,3,2,2,0
Fmaj7/A		,Fmaj7/A	,x,0,3,2,1,0
Fmmaj7		,Fmmaj7		,x,3,3,1,1,0
G			,G			,3,2,0,0,0,3
g#6			,G#m6		,x,x,1,1,0,1
G(add9)		,G(add9)	,3,5,x,4,3,5
G/A			,G/A		,3,0,0,0,0,3
G/H			,G/B		,x,2,0,0,0,3
G/D			,G/D		,x,5,5,4,3,3
G/F#		,G/F#		,2,2,0,0,0,3
G11			,G11		,3,x,0,2,1,1
G4			,G4			,x,x,0,0,1,3
G6			,G6			,3,x,0,0,0,0
G6(sus4)	,G6(sus4)	,0,2,0,0,1,0
G7			,G7			,3,2,0,0,0,1
G7#9		,G7#9		,3,5,x,4,6,6
G7(sus4)	,G7(sus4)	,3,3,0,0,1,1
G9			,G9			,3,x,0,2,0,1
G9(11)		,G9(11)		,1,2,0,0,0,1
g			,Gm			,3,5,5,3,3,3
g/B			,Gm/Bb		,6,5,5,4,x,x
g6			,Gm6		,x,x,2,3,3,3
g7			,Gm7		,3,5,3,3,3,3
Gmaj7		,Gmaj7		,x,x,5,4,3,2
Gmaj7sus4	,Gmaj7sus4	,3,3,0,0,1,2
Gmaj9		,Gmaj9		,2,2,5,2,3,2
Gsus4		,Gsus4		,x,x,0,0,1,1